item,lvl,ID,catSeq,Finnish,English,TDOI
141,4,C1FB,21,Pääasiassa sydämeen vaikuttavat kalsiumkanavan salpaajat,,NOTDOI
142,5,C08DA01,10,Verapamiili,verapamil,undefined
143,5,C08DB01,11,Diltiatseemi,diltiazem,undefined
144,3,C1G,70,ACE:n estäjät,,undefined
145,4,C09AA01,10,Kaptopriili,captopril,undefined
146,4,C09AA02,20,Enalapriili,enalapril,undefined
147,4,C09AA03,30,Lisinopriili,lisinopril,undefined
148,4,C09AA04,40,Perindopriili,perindopril,undefined
149,4,C09AA05,50,Ramipriili,ramipril,undefined
150,4,C09AA06,60,Kinapriili,quinapril,undefined
151,4,C09AA15,70,Tsofenopriili,zofenopril,undefined
152,3,C1H,80,ACE:n estäjien yhdistelmävalmisteet,,undefined
153,4,C1HA,10,ACE:n estäjä ja diureetti,,undefined
154,5,C09BA02,10,Enalapriili ja diureetit,enalapril and diuretics,undefined
155,5,C09BA03,20,Lisinopriili ja diureetit,lisinopril and diuretics,undefined
156,5,C09BA04,30,Perindopriili ja diureetit,perindopril and diuretics,undefined
157,5,C09BA05,40,Ramipriili ja diureetit,ramipril and diuretics,undefined
158,5,C09BA06,50,Kinapriili ja diureetit,quinapril and diuretics,undefined
159,5,C09BA15,60,Tsofenopriili ja diureetit,zofenopril and diuretics,undefined
160,4,C1HB,20,ACE:n estäjä ja kalsiumkanavan salpaaja,,undefined
161,5,C09BB02,10,Enalapriili ja lerkanidipiini,enalapril and lercanidipine,undefined
162,5,C09BB04,20,Perindopriili ja amlodipiini,perindopril and amlodipine,undefined
163,5,C09BB05,30,Ramipriili ja felodipiini,ramipril and felodipine,undefined
164,5,C09BB07,31,Ramipriili ja amlodipiini,ramipril and amlodipine,NOTDOI
165,4,C1HC,30,"ACE:n estäjä, diureetti ja kalsiumkanavan salpaaja",,NOTDOI
166,5,C09BX01,10,"Perindopriili, amlodipiini ja indapamidi","perindopril, amlodipine and indapamide",NOTDOI
167,4,C1HD,40,ACE:n estäjä ja beetasalpaaja,,NOTDOI
168,5,C09BX02,10,Perindopriili ja bisoprololi,perindopril and bisoprolol,NOTDOI
169,3,C1J,90,AT-reseptorin salpaajat,,undefined
170,4,C09CA01,10,Losartaani,losartan,undefined
171,4,C09CA02,20,Eprosartaani,eprosartan,undefined
172,4,C09CA03,30,Valsartaani,valsartan,undefined
173,4,C09CA04,40,Irbesartaani,irbesartan,undefined
174,4,C09CA06,50,Kandesartaani,candesartan,undefined
175,4,C09CA07,60,Telmisartaani,telmisartan,undefined
176,4,C09CA08,70,Olmesartaanimedoksomiili,olmesartan medoxomil,undefined
177,3,C1K,100,AT-reseptorin salpaajien yhdistelmävalmisteet,,undefined
178,4,C1KA,10,AT-reseptorin salpaaja ja diureetti,,undefined
179,5,C09DA01,10,Losartaani ja diureetit,losartan and diuretics,undefined
180,5,C09DA02,20,Eprosartaani ja diureetit,eprosartan and diuretics,undefined
181,5,C09DA03,30,Valsartaani ja diureetit,valsartan and diuretics,undefined
182,5,C09DA06,40,Kandesartaani ja diureetit,candesartan and diuretics,undefined
183,5,C09DA07,50,Telmisartaani ja diureetit,telmisartan and diuretics,undefined
184,5,C09DA08,60,Olmesartaanimedoksomiili ja diureetit,olmesartan medoxomil and diuretics,undefined
185,4,C1KB,20,AT-reseptorin salpaaja ja kalsiumkanavan salpaaja,,undefined
186,5,C09DB01,10,Valsartaani ja amlodipiini,valsartan and amlodipine,undefined
187,5,C09DB02,20,Olmesartaanimedoksomiili ja amlodipiini,olmesartan medoxomil and amlodipine,NOTDOI
188,5,C09DB07,21,Kandesartaani ja amlodipiini ,candesartan and amlodipine,NOTDOI
189,4,C1KC,30,"AT-reseptorin salpaaja, diureetti ja kalsiumkanavan salpaaja",,NOTDOI
190,5,C09DX01,10,"Valsartaani, amlodipiini ja hydroklooritiatsidi","valsartan, amlodipine and hydrochlorothiazide",NOTDOI
191,5,C09DX03,20,"Olmesartaanimedoksomiili, amlodipiini ja hydroklooritiatsidi","olmesartan medoxomil, amlodipine and hydrochlorothiazide",NOTDOI
192,4,C1KD,40,AT-reseptorin salpaaja ja NEP:n estäjä,,NOTDOI
193,5,C09DX04,10,Valsartaani ja sakubitriili,valsartan and sacubitril,NOTDOI
194,3,C1L,110,Reniininestäjät,,undefined
195,4,C09XA02,10,Aliskireeni,aliskiren,undefined
196,2,C1M,120,Pulmonaalihypertension lääkkeet,,NOTDOI
197,3,B01AC09,10,Epoprostenoli,epoprostenol,NOTDOI
198,3,B01AC11,20,Iloprosti,iloprost,undefined
199,3,B01AC21,30,Treprostiniili,treprostinil,undefined
200,3,B01AC27,40,Seleksipagi,selexipag,NOTDOI
201,3,C02KX01,50,Bosentaani,bosentan,undefined
202,3,C02KX02,60,Ambrisentaani,ambrisentan,undefined
203,3,C02KX03,70,Sitaksentaani,sitaxentan,undefined
204,3,C02KX04,80,Masitentaani,macitentan,NOTDOI
205,3,C02KX05,88,Riosiguaatti,riociguat,NOTDOI
206,3,C02KX06,89,Sotatersepti ,sotatercept,NOTDOI
207,3,C02KX54,90,Masitentaani ja tadalafiili ,macitentan and tadalafil,NOTDOI
208,3,G04BE03,100,Sildenafiili,sildenafil,undefined
209,3,G04BE08,110,Tadalafiili,tadalafil,undefined
210,2,C1N,130,Muut verenpainelääkkeet,,undefined
211,3,C02CA06,50,Urapidiili,urapidil,NOTDOI
212,3,C02CC02,60,Guanetidiini,guanethidine,NOTDOI
213,3,C02DB01,80,Dihydralatsiini,dihydralazine,NOTDOI
214,3,C02DB02,90,Hydralatsiini,hydralazine,NOTDOI
215,3,C02DC01,100,Minoksidiili,minoxidil,NOTDOI
216,3,C02DD01,110,Nitroprussidi,nitroprusside,NOTDOI
217,3,C02KB01,120,Metirosiini,metirosine,NOTDOI
218,3,C02KN01,121,Aprositentaani,aprocitentan,NOTDOI
219,3,H01BA01,150,Vasopressiini (argipressiini),vasopressin (argipressin),NOTDOI
220,2,C1P,140,Lipidilääkkeet,,undefined
221,3,C1PA,10,Statiinit,,undefined
222,4,C10AA01,10,Simvastatiini,simvastatin,undefined
223,4,C10AA02,20,Lovastatiini,lovastatin,undefined
224,4,C10AA03,30,Pravastatiini,pravastatin,undefined
225,4,C10AA04,40,Fluvastatiini,fluvastatin,undefined
226,4,C10AA05,50,Atorvastatiini,atorvastatin,undefined
227,4,C10AA07,60,Rosuvastatiini,rosuvastatin,undefined
228,3,C1PB,20,Fibraatit,,undefined
229,4,C10AB02,10,Betsafibraatti,bezafibrate,undefined
230,4,C10AB04,20,Gemfibrotsiili,gemfibrozil,undefined
231,4,C10AB05,30,Fenofibraatti,fenofibrate,undefined
232,3,C1PC,30,Sappihappojen sitojat,,undefined
233,4,C10AC01,10,Kolestyramiini,colestyramine,undefined
234,4,C10AC02,20,Kolestipoli,colestipol,NOTDOI
235,4,C10AC04,30,Kolesevelaami,colesevelam,undefined
236,3,C1PD,40,"Nikotiinihappo, sen johdokset ja yhdistelmävalmisteet",,undefined
237,4,C04AC01,10,Nikotiinihappo,nicotinic acid,NOTDOI
238,4,C10AD06,20,Asipimoksi,acipimox,NOTDOI
239,4,C10AD52,30,"Nikotiinihappo, yhdistelmävalmisteet","nicotinic acid, combinations",undefined
240,3,C1PE,50,Muut lipidilääkkeet,,undefined
241,4,C1PEA,10,PCSK9-estäjät,,NOTDOI
242,5,C10AX13,10,Evolokumabi,evolocumab,NOTDOI
243,5,C10AX14,20,Alirokumabi,alirocumab,NOTDOI
244,4,C10AX06,20,Ikosapenttietyyli,omega-3-triglycerides incl. other esters and acids,NOTDOI
245,4,C10AX09,30,Etsetimibi,ezetimibe,undefined
246,4,C10AX15,40,Bempedoiinihappo,bempedoic acid,NOTDOI
247,4,C10AX16,50,Inklisiraani,inclisiran,NOTDOI
248,4,C10AX17,60,Evinakumabi,evinacumab,NOTDOI
249,3,C1PF,60,Statiini ja muu lipidilääke,,undefined
250,4,C10BA02,10,Simvastatiini ja etsetimibi,simvastatin and ezetimibe,undefined
251,4,C10BA06,20,Rosuvastatiini ja etsetimibi,rosuvastatin and ezetimibe,NOTDOI
252,3,C1PG,70,Statiini ja verenpainelääke,,NOTDOI
253,4,C10BX11,10,"Atorvastatiini, amlodipiini ja perindopriili","atorvastatin, amlodipine and perindopril",NOTDOI
254,2,C1Q,160,"Ääreisverisuonia laajentavat aineet, suonikohjujen hoito",,undefined
255,3,B01AC11,10,Iloprosti,iloprost,undefined
256,3,C04AD03,20,Pentoksifylliini,pentoxifylline,undefined
257,3,C1QA,30,Sklerosoivat lääkeaineet,,NOTDOI
258,4,C05BB02,10,Polidokanoli (lauromakrogoli 400),polidocanol,undefined
259,4,C05BB04,20,Natriumtetradekyylisulfaatti,sodium tetradecyl sulfate,NOTDOI
260,1,B1,2,Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet,,undefined
261,2,B1AF,3,Antikoagulantit,,NOTDOI
262,3,B1AFA,10,Hepariinit,,NOTDOI
263,4,B01AB01,10,Fraktioimaton hepariini,heparin,undefined
264,4,B1ABA,20,Pienimolekyyliset hepariinit (LMWH),,undefined
265,5,B01AB04,10,Daltepariini,dalteparin,undefined
266,5,B01AB05,20,Enoksapariini,enoxaparin,undefined
267,5,B01AB09,30,Danaparoidi,danaparoid,NOTDOI
268,5,B01AB10,40,Tintsapariini,tinzaparin,undefined
269,4,C05BA01,21,Organoheparinoidit,organo-heparinoid,undefined
270,3,B1AA,20,K-vitamiiniantagonistit,,undefined
271,4,B01AA02,10,Fenindioni,phenindione,NOTDOI
272,4,B01AA03,20,Varfariini,warfarin,undefined
273,4,B01AA04,30,Fenprokumoni,phenprocoumon,undefined
274,3,B1AFB,30,Suorat hyytymistekijä X:n estäjät,,NOTDOI
275,4,B01AF02,10,Apiksabaani,apixaban,NOTDOI
276,4,B01AF03,20,Edoksabaani,edoxaban,NOTDOI
277,4,B01AF01,30,Rivaroksabaani,rivaroxaban,undefined
278,3,B1AFC,40,Epäsuorat hyytymistekijä X:n estäjät,,NOTDOI
279,4,B01AX05,10,Fondaparinuuksi,fondaparinux,undefined
280,3,B1AD,50,Suorat trombiinin estäjät,,undefined
281,4,B01AE03,10,Argatrobaani,argatroban,NOTDOI
282,4,B01AE06,20,Bivalirudiini,bivalirudin,undefined
283,4,B01AE07,30,Dabigatraanieteksilaatti,dabigatran etexilate,undefined
284,3,B01AB02,60,Antitrombiini,antithrombin III,undefined
285,3,B01AD12,70,Proteiini C,protein C,undefined
286,3,B01AD13,71,Apadamtaasi alfa,apadamtase alfa and cinaxadamtase alfa,NOTDOI
287,2,B1AB,6,Verihiutaleiden estäjät,,undefined
288,3,B1ABB,10,Asetyylisalisyylihappo ja sen yhdistelmät,,undefined
289,4,B01AC06,10,Asetyylisalisyylihappo,acetylsalicylic acid,undefined
290,4,B01AC30,20,Asetyylisalisyylihapon yhdistelmävalmisteet,combinations,undefined
291,3,B01AC07,20,Dipyridamoli,dipyridamole,undefined
292,3,B1ABD,30,ADP-reseptorin salpaajat,,NOTDOI
293,4,B01AC04,10,Klopidogreeli,clopidogrel,undefined
294,4,B01AC05,20,Tiklopidiini,ticlopidine,undefined
295,4,B01AC22,30,Prasugreeli,prasugrel,undefined
296,4,B01AC24,40,Tikagrelori,ticagrelor,NOTDOI
297,4,B01AC25,50,Kangrelori,cangrelor,NOTDOI
298,3,B1ABC,40,Glykoproteiini IIb/IIIa -estäjät,,NOTDOI
299,4,B01AC13,10,Absiksimabi,abciximab,undefined
300,4,B01AC16,20,Eptifibatidi,eptifibatide,undefined
301,4,B01AC17,30,Tirofibaani,tirofiban,undefined
302,3,B01AX01,50,Defibrotidi,defibrotide,NOTDOI
303,3,B01AX07,60,Kaplasitsumabi,caplacizumab,NOTDOI
304,2,B1AC,9,Fibrinolyyttiset lääkeaineet,,undefined
305,3,B01AD01,10,Streptokinaasi,streptokinase,NOTDOI
306,3,B01AD02,20,Alteplaasi,alteplase,undefined
307,3,B01AD04,30,Urokinaasi,urokinase,NOTDOI
308,3,B01AD07,40,Reteplaasi,reteplase,undefined
309,3,B01AD11,50,Tenekteplaasi,tenecteplase,undefined
310,2,B1AE,12,Prostasykliinianalogit,,undefined
311,3,B01AC09,10,Epoprostenoli,epoprostenol,NOTDOI
312,3,B01AC11,20,Iloprosti,iloprost,undefined
313,2,B1B,20,Hyytymistä edistävät lääkkeet,,undefined
314,3,B02BB01,10,Fibrinogeeni,"fibrinogen, human",undefined
315,3,B02BC06,20,Trombiini,thrombin,NOTDOI
316,3,B02BC30,30,Paikallisesti käytettävät hemostaatit,combinations,undefined
317,3,B1BA,40,Antifibrinolyyttiset lääkkeet,,undefined
318,4,B02AA02,10,Traneksaamihappo,tranexamic acid,undefined
319,4,B02AB01,20,Aprotiniini ,aprotinin,NOTDOI
320,3,B1BB,50,K-vitamiini (fytomenadioni),,undefined
321,4,B02BA01,10,Fytomenadioni,phytomenadione,undefined
322,3,B1BE,60,Veren hyytymistekijät ja muut systeemisesti käytettävät hemostaatit,,undefined
323,4,B02BD01,10,"Hyytymistekijät IX, II, VII ja X yhdistelmävalmisteina","coagulation factor IX, II, VII and X in combination",undefined
324,4,B02BD02,20,Hyytymistekijä VIII,coagulation factor VIII,undefined
325,4,B02BD03,30,Hyytymistekijä VIII:n vasta-aineen ohittava aine,factor VIII inhibitor bypassing activity,undefined
326,4,B02BD04,40,Hyytymistekijä IX,coagulation factor IX,undefined
327,4,B02BD06,50,Von Willebrand-tekijän ja hyytymistekijä VIII:n yhdistelmävalmisteet,von Willebrand factor and coagulation factor VIII in combination,undefined
328,4,B02BD07,60,Hyytymistekijä XIII,coagulation factor XIII,undefined
329,4,B02BD08,70,Hyytymistekijä VIIa,coagulation factor VIIa,undefined
330,4,B02BD10,86,Von Willebrand -tekijä,von Willebrand factor,NOTDOI
331,4,B02BD11,87,Katridekakogi,catridecacog,NOTDOI
332,4,B02BD14,89,Susoktokogi alfa,susoctocog alfa,NOTDOI
333,4,B02BD15,90,Valoktokogeeniroksaparvoveekki,valoctocogene roxaparvovec,NOTDOI
334,4,B02BD16,91,Etranakogeenidetsaparvoveekki,etranacogene dezaparvovec,NOTDOI
335,4,B02BD17,92,Fidanakogeenielaparvoveekki,fidanacogene elaparvovec,NOTDOI
336,4,B02BX04,120,Romiplostiimi,romiplostim,undefined
337,4,B02BX05,130,Eltrombopagi,eltrombopag,NOTDOI
338,4,B02BX06,168,Emisitsumabi,emicizumab,NOTDOI
339,4,B02BX07,169,Lusutrombopagi,lusutrombopag,NOTDOI
340,4,B02BX08,170,Avatrombopagi,avatrombopag,NOTDOI
341,4,B02BX09,180,Fostamatinibi,fostamatinib,NOTDOI
342,4,B02BX10,181,Konsitsumabi ,concizumab,NOTDOI
343,4,B02BX11,182,Marstasimabi,marstacimab,NOTDOI
344,4,H01BA02,190,Desmopressiini,desmopressin,undefined
345,4,H01BA04,200, Terlipressiini,terlipressin,undefined
346,4,V03AB14,210,Protamiini,protamine,undefined
347,2,B1C,30,Anemialääkkeet,,undefined
348,3,B1CA,10,Rauta ja rauta-foolihappoyhdistelmät,,undefined
349,4,B1CAA,10,Oraaliset valmisteet,ATCDDD N/A,NOTDOI
350,4,B1CAB,20,Parenteraaliset valmisteet,ATCDDD N/A,NOTDOI
351,3,B1CC,30,Muut anemialääkkeet,,undefined
352,4,B03XA01,10,Epoetiini,erythropoietin,undefined
353,4,B03XA02,20,Darbepoetiini alfa,darbepoetin alfa,undefined
354,4,B03XA03,30,Metoksipolyetyleeniglykoliepoetiini beta,methoxy polyethylene glycol-epoetin beta,NOTDOI
355,4,B03XA05,40,Roksadustaatti,roxadustat,NOTDOI
356,4,B03XA06,50,Luspatersepti,luspatercept,NOTDOI
357,4,B03XA08,51,Vadadustaatti,vadadustat,NOTDOI
358,2,B1D,40,Perinnöllisen angioedeeman (HAE) lääkkeet,,undefined
359,3,B06AC01,8,Proteiini-C1 -estäjät,"c1-inhibitor, plasma derived",NOTDOI
360,3,B06AC02,9,Ikatibantti,icatibant,NOTDOI
361,3,B06AC04,9,Konestaatti alfa,conestat alfa,NOTDOI
362,3,B06AC05,10,Lanadelumabi,lanadelumab,NOTDOI
363,3,B06AC06,10,Berotralstaatti,berotralstat,NOTDOI
364,3,B06AC07,10,Garadasimabi,garadacimab,NOTDOI
365,2,B1E,40,Muut hematologiset lääkkeet,,NOTDOI
366,3,B01AX01,10,Defibrotidi,defibrotide,NOTDOI
367,3,B01AX07,20,Kaplasitsumabi,caplacizumab,NOTDOI
368,3,B02BX09,59,Fostamatinibi,fostamatinib,NOTDOI
369,3,B06AX01,59,Kritsanlitsumabi,crizanlizumab,NOTDOI
370,3,B06AA03,60,Hyaluronidaasi,hyaluronidase,NOTDOI
371,3,B06AB01,60,Hemiini,hemin,undefined
372,3,B06AX02,68,Betibeglogeeniautotemseeli,betibeglogene autotemcel,NOTDOI
373,3,B06AX03,69,Vokselotori,voxelotor,NOTDOI
374,3,B06AX04,69,Mitapivaatti,mitapivat,NOTDOI
375,3,B06AX05,70,Eksagamglogeeniautotemseeli,exagamglogene autotemcel,NOTDOI
376,3,L04AJ01,80,Ekulitsumabi,eculizumab,NOTDOI
377,3,L04AJ02,90,Ravulitsumabi,ravulizumab,NOTDOI
378,3,L04AJ03,91,Pegsetakoplaani,pegcetacoplan,NOTDOI
379,3,L04AJ04,92,Sutimlimabi,sutimlimab,NOTDOI
380,3,L04AJ07,93,Krovalimabi,crovalimab,NOTDOI
381,3,L04AJ08,93,Iptakopaani,iptacopan,NOTDOI
382,3,L04AJ09,94,Danikopaani ,danicopan,NOTDOI
383,1,N2,3,"Keskushermoston lääkkeet (mm. psyyken, epilepsian, Parkinsonin ja Alzheimerin taudin lääkkeet)",,undefined
384,2,N2A,10,Psykoosilääkkeet,,undefined
385,3,N2AA,10,Perinteiset psykoosilääkkeet,,undefined
386,4,N2AAA,10,Fentiatsiinit,,NOTDOI
387,5,N05AA01,10,Klooripromatsiini,chlorpromazine,undefined
388,5,N05AA02,20,Levomepromatsiini,levomepromazine,undefined
389,5,N05AB01,30,Diksyratsiini,dixyrazine,undefined
390,5,N05AB02,40,Flufenatsiini,fluphenazine,undefined
391,5,N05AB03,50,Perfenatsiini,perphenazine,undefined
392,5,N05AB06,55,Trifluoperatsiini,trifluoperazine,NOTDOI
393,5,N05AB04,60,Proklooriperatsiini,prochlorperazine,undefined
394,5,N05AC01,70,Perisiatsiini,periciazine,undefined
395,5,N05AC04,80,Pipotiatsiini,pipotiazine,NOTDOI
396,4,N05AD01,80,Haloperidoli,haloperidol,undefined
397,4,N05AD03,90,Melperoni,melperone,undefined
398,4,N05AF01,100,Flupentiksoli,flupentixol,undefined
