TDOI,ID,English,Finnish,"Upper LTK group","LTK group name"
00092,S01EC01,acetazolamide,Asetatsolamidi,S1DC,Hiilihappoanhydraasin estäjät
00093,P01BA02,hydroxychloroquine,Hydroksiklorokiini,L2AB,Perinteiset reumalääkkeet (DMARDs)
00094,J2BAF,N/A,Jäykkäkouristus,J2BA,Bakteerirokotteet
00095,A10BX03,nateglinide,Try again,,
00096,D05AD01,trioxysalen,Trioksisaleeni,D1E,Psoriaasilääkkeet
00097,N06AB04,citalopram,Sitalopraami,N2DB,Selektiiviset serotoniinin takaisinoton estäjät (SSRI)
00098,V5A,N/A,Jodia sisältävät varjoaineet,V5,Varjoaineet
00099,404,,,,
00100,N02CC07,frovatriptan,Frovatriptaani,N3CA,Triptaanit (5-HT1-reseptoriagonistit)
00101,B2D,N/A,Infuusiokonsentraatit,B2,Veren korvikkeet ja perfuusioliuokset
00102,404,,,,
00103,J1DCD,N/A,HIV-lääkkeiden yhdistelmät,J1DC,HIV-lääkkeet
00104,R01AC03,azelastine,Atselastiini,R1DC,Muut allergialääkkeet kuin kortikosteroidit
00105,R1FA,N/A,Kurkkukipuun käytettävät valmisteet,R1F,Muut hengitysteiden sairauksien lääkkeet
00106,V03AB19,physostigmine,Fysostigmiini,V2A,Myrkytysten antidootit
00107,404,,,,
00108,M03AC11,cisatracurium,Sisatrakuuri,M3AA,Anestesian yhteydessä käytettävät lihasrelaksantit
00109,C10BA02,simvastatin and ezetimibe,Simvastatiini ja etsetimibi,C1PF,Statiini ja muu lipidilääke
00110,L01XE01,ATCDDD N/A,Try again,,
00111,C01DA08,isosorbide dinitrate,Isosorbididinitraatti,C1AC,Orgaaniset nitraatit
00112,A04AA01,ondansetron,Ondansetroni,A1CA,Serotoniiniantagonistit
00113,A10AC01,insulin (human),Ihmisinsuliini,A2AB,Pitkävaikutteiset
00114,N02AB02,pethidine,Petidiini,N3BB,Vahvat opioidit
00115,R06AE09,levocetirizine,Levosetiritsiini,R1CA,Väsyttämättömät antihistamiinit
00116,V03AF03,calcium folinate,Kalsiumfolinaatti,V2E,Sytostaattihoidon haittoja vähentävät lääkkeet
00117,L01CA04,vinorelbine,Vinorelbiini,L1AC,Kasvialkaloidit ja muut luonnontuotteet
00118,H02AB06,prednisolone,Prednisoloni,H1CB,"Glukokortikoidit, myös yhdistelmävalmisteet"
00119,A07CA,Oral rehydration salt formulations,Elektrolyytti/hiilihydraattivalmisteet,A1E,Ripulin ja suolistotulehdusten hoito
00120,A10AE05,insulin detemir,Detemirinsuliini,A2AD,Ylipitkävaikutteiset
00121,N01AH02,alfentanil,Alfentaniili,N1AAC,Opioidianesteetit
00122,B01AB02,antithrombin III,Antitrombiini,B1AF,Antikoagulantit
00123,A01AB03,chlorhexidine,Klooriheksidiini,A1GB,"Suun paikallishoito, mikrobilääkkeet"
00124,N2CC,N/A,Muut unilääkkeet,N2C,Unilääkkeet
00125,N2HA,N/A,Try again,,
00126,J2BBE,N/A,Polio,J2BB,Virusrokotteet
00127,J05AR01,zidovudine and lamivudine,Tsidovudiini ja lamivudiini,J1DCD,HIV-lääkkeiden yhdistelmät
00128,404,,,,
00129,N06DA03,rivastigmine,Rivastigmiini,N2GA,Antikoliiniesteraasit (AKE:n estäjät)
00130,A12CB01,zinc sulfate,Sinkkisulfaatti,A3BD,Muut kivennäisaineet
00131,N07BB01,disulfiram,Disulfiraami,N2JB,Alkoholiriippuvuuden hoito
00132,D1CAB,N/A,Muut kuin mikrobilääkkeet,D1CA,Ulkoisesti käytettävät aknelääkkeet
00133,J1CB,N/A,Lepralääkkeet,J1C,Mykobakteerilääkkeet
00134,N02AE01,buprenorphine,Buprenorfiini,N3BA,"Heikot opioidit, osittaiset agonistit"
00135,G03FB06,medroxyprogesterone and estrogen,Medroksiprogesteroni ja estrogeeni,G2AFB,Sekventiaalivalmisteet
00136,C01EA01,alprostadil,Alprostadiili,C1AD,Muut sydänlääkkeet
00137,S01BC05,ketorolac,Ketorolaakki,S1CB,Tulehduskipulääkkeet
00138,J01DB01,cefalexin,Kefaleksiini,J1ACA,Ensimmäisen polven kefalosporiinit
00139,N05AB03,perphenazine,Perfenatsiini,N2AAA,Fentiatsiinit
00140,R03BA08,ciclesonide,Siklesonidi,R1AE,Glukokortikoidit (ICS)
00141,N06BA04,methylphenidate,Metyylifenidaatti,N2H,ADHD-lääkkeet
00142,A07EA06,budesonide,Budesonidi,A1EE,Paikalliset kortikosteroidit
00143,N04BD01,selegiline,Selegiliini,N2FC,MAO-B:n estäjät
00144,N02AC04,dextropropoxyphene,Dekstropropoksifeeni,N3BA,"Heikot opioidit, osittaiset agonistit"
00145,404,,,,
00146,L02BG04,letrozole,Letrotsoli,L1BC,Aromataasin estäjät
00147,C02KX01,bosentan,Bosentaani,C1M,Pulmonaalihypertension lääkkeet
00148,S01JA51,"fluorescein, combinations","Fluoreseiini, yhdistelmävalmisteet",S1H,Diagnostiset aineet
00149,G04BE08,tadalafil,Tadalafiili,G1DB,Erektiohäiriöiden hoitoon tarkoitetut lääkkeet
00150,L1CB,N/A,Interferonit,L1C,Immunostimulantit
00151,N04BC05,pramipexole,Pramipeksoli,N2FB,Dopaminergiset lääkkeet
00152,J01DH02,meropenem,Meropeneemi,J1ACF,Karbapeneemit
00153,D1AA,N/A,Miedot (ryhmä I),D1A,Iholle käytettävät kortikosteroidit
00154,A11CC03,alfacalcidol,Alfakalsidoli,A3AA,D-vitamiinit
00155,L04AD02,tacrolimus,Takrolimuusi,L1DD,Kalsineuriinin estäjät
00156,D01AC01,clotrimazole,Klotrimatsoli,D1BA,Paikalliset sienilääkkeet
00157,H1DB,N/A,Tyreostaatit,H1D,Kilpirauhasen toiminnan häiriöiden hoito
00158,R1EB,N/A,Limaa irrottavat,R1E,Yskänlääkkeet
00159,L02BG03,anastrozole,Anastrotsoli,L1BC,Aromataasin estäjät
00160,M01AB05,diclofenac,Diklofenaakki,M1A,Tulehduskipulääkkeet
00161,N01BB51,"bupivacaine, combinations","Bupivakaiini, yhdistelmävalmisteet",N1B,Paikallispuudutteet
00162,C01BB02,mexiletine,Meksiletiini,C1BB,Ryhmä 1B
00163,L04AA25,ATCDDD N/A,Try again,,
00164,D02AE01,carbamide,Karbamidi,D1F,"Pehmentävät ja suojaavat valmisteet, haavojen ja palovammojen hoito"
00165,V09B,SKELETON,Luusto,V6A,Diagnostiset radioaktiiviset lääkevalmisteet
00166,404,,,,
00167,R05CB03,carbocisteine,Karbosisteiini,R1EB,Limaa irrottavat
00168,404,,,,
00169,L03AX16,plerixafor,Pleriksafori,L1CD,Muut immunostimulantit
00170,404,,,,
00171,A1DD,N/A,Peräruiskeet,A1D,Ulostuslääkkeet
00172,N06AX12,bupropion,Bupropioni,N2JA,Nikotiiniriippuvuuden hoito
00173,V03AF02,dexrazoxane,Deksratsoksaani,V2E,Sytostaattihoidon haittoja vähentävät lääkkeet
00174,N07BA01,nicotine,Nikotiini,N2JA,Nikotiiniriippuvuuden hoito
00175,L04AA04,antithymocyte immunoglobulin (rabbit),Antitymosyytti-immunoglobuliini,L1DA,Selektiiviset immunosuppressantit
00176,N03AX09,lamotrigine,Lamotrigiini,N2EE,Muut epilepsialääkkeet
00177,C03EA01,hydrochlorothiazide and potassium-sparing agents,Hydroklooritiatsidi ja kaliumia säästävät diureetit,C1CD,Kaliumia säästävien ja muiden diureettien yhdistelmät
00178,J01EE01,sulfamethoxazole and trimethoprim,Sulfametoksatsoli ja trimetopriimi,J1ADA,Sulfonamidin ja trimetopriimin yhdistelmät
00179,404,,,,
00180,L1AEC,N/A,Fotodynaamisessa/säteilyhoidossa käytettävät herkistäjät,L1A,Syöpälääkkeet
00181,B05AA05,dextran,Dekstraani,B2A,"Veren korvikkeet, infuusionesteet"
00182,N1AAC,N/A,Opioidianesteetit,N1AA,Yleisanesteetit
00183,M05BX03,strontium ranelate,Try again,,
00184,L1BAB,N/A,Gonadotropiinia vapauttavan hormonin kaltaiset yhdisteet,L1BA,Hormonit
00185,A09AB01,glutamic acid hydrochloride,Glutamiinihappo,A1H,Ruoansulatusentsyymit ja happovalmisteet
00186,N05AG02,pimozide,Pimotsidi,N2AA,Perinteiset psykoosilääkkeet
00187,N05AX13,paliperidone,Paliperidoni,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
00188,C09DA01,losartan and diuretics,Losartaani ja diureetit,C1KA,AT-reseptorin salpaaja ja diureetti
00189,A10BH02,vildagliptin,Vildagliptiini,A2BE,DPP-4:n estäjät (gliptiinit)
00190,J2BC,N/A,Rokotteiden yhdistelmävalmisteet,J2B,Rokotteet
00191,R06AX13,loratadine,Loratadiini,R1CA,Väsyttämättömät antihistamiinit
00192,S01GX02,levocabastine,Levokabastiini,S1FB,Allergialääkkeet
00193,A11DA01,thiamine (vit B1),Tiamiini (B1-vitamiini),A3AB,"B-vitamiinit, myös yhdistelmävalmisteet"
00194,C1BC,N/A,Ryhmä 1C,C1B,Rytmihäiriölääkkeet
00195,G04CA02,tamsulosin,Tamsulosiini,G1DCA,Alfareseptoreiden salpaajat
00196,L01BB05,fludarabine,Fludarabiini,L1ABB,Puriinianalogit
00197,D07BC01,betamethasone and antiseptics,Beetametasoni ja antiseptit,D1AEC,Vahvojen kortikosteroidien yhdistelmät
00198,L01BC01,cytarabine,Sytarabiini,L1ABC,Pyrimidiinianalogit
00199,N3CA,N/A,Triptaanit (5-HT1-reseptoriagonistit),N3C,Migreenilääkkeet (spesifiset)
00200,A10BD03,metformin and rosiglitazone,Try again,,
00201,N2ED,N/A,Rasvahappojohdokset,N2E,Epilepsialääkkeet
00202,C09BB05,ramipril and felodipine,Ramipriili ja felodipiini,C1HB,ACE:n estäjä ja kalsiumkanavan salpaaja
00203,G03FA12,medroxyprogesterone and estrogen,Medroksiprogesteroni ja estrogeeni,G2AFA,Kiinteät yhdistelmät
00204,P01BA01,chloroquine,Klorokiini,P1AB,Malarialääkkeet
00205,G03GA05,follitropin alfa,Follitropiini alfa,G2AG,Ovulaation stimuloijat
00206,S01EA05,brimonidine,Brimonidiini,S1DA,Sympatomimeetit
00207,A06AG10,"docusate sodium, incl. combinations",Natriumdokusaatti ja natriumdokusaattia sisältävät yhdistelmävalmisteet,A1DD,Peräruiskeet
00208,C03CA01,furosemide,Furosemidi,C1CB,Loop-diureetit
00209,J07BL01,"yellow fever, live attenuated","Keltakuumerokote, elävä heikennetty virus",J2BBJ,Keltakuume
00210,D02AE51,"carbamide, combinations","Karbamidi, yhdistelmävalmisteet",D1F,"Pehmentävät ja suojaavat valmisteet, haavojen ja palovammojen hoito"
00211,S01FA06,tropicamide,Tropikamidi,S1EA,Antikolinergit
00212,C05AA08,fluocortolone,Fluokortoloni,C1R,Peräpukamien ja peräaukon haavaumien hoito
00213,C03CA02,bumetanide,Bumetanidi,C1CB,Loop-diureetit
00214,M02AA15,diclofenac,Diklofenaakki,M1DA,Paikalliset tulehduskipulääkkeet
00215,A02BC04,rabeprazole,Rabepratsoli,A1AD,Protonipumpun estäjät
00216,A10BX02,repaglinide,Repaglinidi,A2BG,Glinidit
00217,D1AE,N/A,Kortikosteroidien ja antiseptien/antibioottien yhdistelmät,D1A,Iholle käytettävät kortikosteroidit
00218,G2AA,N/A,Hormonaaliset ehkäisyvalmisteet (systeeminen vaikutus),G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
00219,S1EB,N/A,Sympatomimeetit,S1E,Mydriaasin ja sykloplegian aiheuttavat lääkkeet
00220,D10AF51,"clindamycin, combinations","Klindamysiini, yhdistelmävalmisteet",D1CAA,Mikrobilääkkeet
00221,A1GC,N/A,"Suun paikallishoito, kortikosteroidit",A1G,Suun ja hampaiden hoito
00222,J01FA10,azithromycin,Atsitromysiini,J1AE,Makrolidit
00223,J07AL01,"pneumococcus, purified polysaccharides antigen",Pneumokokkipolysakkaridirokote,J2BAE,Pneumokokki
00224,G03XB01,mifepristone,Mifepristoni,G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
00225,C07BB07,bisoprolol and thiazides,Bisoprololi ja tiatsidit,C1EA,Beetasalpaaja ja diureetti
00226,M01AX01,nabumetone,Nabumetoni,M1A,Tulehduskipulääkkeet
00227,N07AA51,"neostigmine, combinations","Neostigmiini, yhdistelmävalmisteet",N2L,Parasympatomimeetit
00228,M03AC10,mivacurium chloride,Mivakuriumkloridi,M3AA,Anestesian yhteydessä käytettävät lihasrelaksantit
00229,G03AC01,norethisterone,Noretisteroni,G2AAC,Progestageenit
00230,G02CB04,quinagolide,Kinagolidi,G1CB,Prolaktiininestäjät
00231,S01EE05,tafluprost,Tafluprosti,S1DE,Prostaglandiinianalogit
00232,C09CA01,losartan,Losartaani,C1J,AT-reseptorin salpaajat
00233,B01AA03,warfarin,Varfariini,B1AA,K-vitamiiniantagonistit
00234,V01AA11,animals,Eläimet,V1,Allergeenit
00235,D05AX03,calcitriol,Kalsitrioli,D1E,Psoriaasilääkkeet
00236,B1AB,N/A,Verihiutaleiden estäjät,B1,Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet
00237,H1AA,N/A,Aivolisäkkeen etulohkon hormonit,H1A,Aivolisäkkeen ja hypotalamuksen hormonit
00238,N07XX02,riluzole,Rilutsoli,N2M,Muut hermostoon vaikuttavat lääkkeet
00239,J1ACF,N/A,Karbapeneemit,J1AC,Muut beetalaktaamirakenteiset bakteerilääkkeet
00240,B05ZB,Hemofiltrates,Hemodialyysiliuokset ja hemofiltraatit,B2,Veren korvikkeet ja perfuusioliuokset
00241,N2JA,N/A,Nikotiiniriippuvuuden hoito,N2J,Riippuvuuden hoitoon tarkoitetut lääkkeet
00242,A01AA51,"sodium fluoride, combinations","Natriumfluoridi, yhdistelmävalmisteet",A1GA,Karieksen esto
00243,M05BC01,dibotermin alfa,Dibotermiini alfa,M2C,Muut luukudokseen vaikuttavat lääkkeet
00244,A07EB01,cromoglicic acid,Dinatriumkromoglikaatti,A1E,Ripulin ja suolistotulehdusten hoito
00245,C01BD05,ibutilide,Ibutilidi,C1BE,Ryhmä 3 (repolarisaation pidentäjät)
00246,N03AB02,phenytoin,Fenytoiini,N2EA,Hydantoiinijohdokset
00247,G03AC03,levonorgestrel,Levonorgestreeli,G2AAC,Progestageenit
00248,L1ABA,N/A,Foolihappoanalogit,L1AB,Antimetaboliitit
00249,V08DA05,"sulfur hexafluoride, phospholipid microspheres",Rikkiheksafluoridi,V5D,Ultraäänikuvausaineet
00250,S01ED01,timolol,Timololi,S1DD,"Beetasalpaajat, myös yhdistelmät"
00251,P1,N/A,"Loisten häätö (alkueläimet, madot, syyhy)",N/A JSON API,N/A JSON API
00252,S01CA01,dexamethasone and antiinfectives,Deksametasoni ja mikrobilääkkeet,S1CC,Kortikosteroidin ja mikrobilääkkeen yhdistelmät
00253,D1J,N/A,Lääkesiteet,D1,Ihotautien lääkkeet
00254,404,,,,
00255,D07AB02,hydrocortisone butyrate,Hydrokortisonibutyraatti,D1AB,Keskivahvat (ryhmä II)
00256,A06AD11,lactulose,Laktuloosi,A1DC,Osmoottiset ulostuslääkkeet
00257,C03AA03,hydrochlorothiazide,Hydroklooritiatsidi,C1CA,Tiatsidit ja niiden kaltaiset diureetit
00258,C1PA,N/A,Statiinit,C1P,Lipidilääkkeet
00259,A16AA06,betaine,Betaiini,A1JA,Aminohapot
00260,M02AA10,ketoprofen,Ketoprofeeni,M1DA,Paikalliset tulehduskipulääkkeet
00261,R1FB,N/A,Surfaktantit,R1F,Muut hengitysteiden sairauksien lääkkeet
00262,R01AD05,budesonide,Budesonidi,R1DB,"Glukokortikoidit, myös yhdistelmävalmisteet"
00263,S1E,N/A,Mydriaasin ja sykloplegian aiheuttavat lääkkeet,S1,Silmätautien lääkkeet
00264,S01ED02,betaxolol,Betaksololi,S1DD,"Beetasalpaajat, myös yhdistelmät"
00265,404,,,,
00266,A16AA04,mercaptamine,Merkaptamiini,A1JA,Aminohapot
00267,D07AB08,desonide,Desonidi,D1AB,Keskivahvat (ryhmä II)
00268,J01DH04,doripenem,Doripeneemi,J1ACF,Karbapeneemit
00269,L1AEE,N/A,Muut syöpälääkkeet,L1A,Syöpälääkkeet
00270,J07BM02,"papillomavirus (human types 16, 18)","Ihmisen papilloomavirus (tyyppi 16, 18) -rokote",J2BCA,Papillooma
00271,C09AA04,perindopril,Perindopriili,C1G,ACE:n estäjät
00272,N05BA02,chlordiazepoxide,Klooridiatsepoksidi,N2BA,Bentsodiatsepiinit
00273,S01LA04,ranibizumab,Ranibitsumabi,S1K,Uudelleensuonittumisen estoon käytettävät lääkkeet
00274,S01EC04,brinzolamide,Brintsolamidi,S1DC,Hiilihappoanhydraasin estäjät
00275,R03AC12,salmeterol,Salmeteroli,R1AB,Pitkävaikutteiset beeta-2-agonistit (LABA)
00276,L1,N/A,Syöpälääkkeet ja immuunivasteen muuntajat,N/A JSON API,N/A JSON API
00277,J07BH01,"rota virus, live attenuated","Rotavirus, elävä heikennetty virus",J2BBG,Rotavirus
00278,R01AD09,mometasone,Mometasoni,R1DB,"Glukokortikoidit, myös yhdistelmävalmisteet"
00279,404,,,,
00280,L01DC01,bleomycin,Bleomysiini,L1AD,Sytotoksiset antibiootit
00281,C07AB09,esmolol,Esmololi,C1BDA,Selektiiviset beetasalpaajat
00282,G2A,N/A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet,H1,Hormonit (paitsi insuliinit) ja ehkäisy
00283,L02BA02,toremifene,Toremifeeni,L1BBA,Antiestrogeenit
00284,G03XC01,raloxifene,Raloksifeeni,G2AD,Estrogeenit ja estrogeenireseptorin muuntelijat
00285,J07AN01,"tuberculosis, live attenuated","Tuberkuloosirokote, elävä heikennetty",J2BAG,Tuberkuloosi/BCG
00286,C03DA04,eplerenone,Eplerenoni,C1CCA,Aldosteroniantagonistit
00287,404,,,,
00288,S01AA13,fusidic acid,Fusidiinihappo,S1A,Mikrobilääkkeet
00289,P1B,N/A,Matolääkkeet,P1,"Loisten häätö (alkueläimet, madot, syyhy)"
00290,G1DA,N/A,Virtsatiespasmolyytit (inkontinenssin ja tiheävirtsaisuuden hoito),G1D,Virtsaelinten sairauksien lääkkeet
00291,N07CA01,betahistine,Betahistiini,N2K,Huimauslääkkeet
00292,404,,,,
00293,R01AD12,fluticasone furoate,Flutikasonifuroaatti,R1DB,"Glukokortikoidit, myös yhdistelmävalmisteet"
00294,A16AA05,carglumic acid,Karglumiinihappo,A1JA,Aminohapot
00295,J01DH03,ertapenem,Ertapeneemi,J1ACF,Karbapeneemit
00296,404,,,,
00297,404,,,,
00298,S1DD,N/A,"Beetasalpaajat, myös yhdistelmät",S1D,Glaukoomalääkkeet
00299,D05BA02,methoxsalen,Metoksaleeni,D1E,Psoriaasilääkkeet
00300,404,,,,
00301,M01AB15,ketorolac,Ketorolaakki,M1A,Tulehduskipulääkkeet
00302,J1DD,N/A,Muut HIV-lääkkeet,J1DC,HIV-lääkkeet
