item,lvl,ID,catSeq,Finnish,English,TDOI
53,5,C07AB05,40,Betaksololi,betaxolol,00961
54,5,C07AB07,50,Bisoprololi,bisoprolol,01021
55,5,C07AB08,60,Seliprololi,celiprolol,00566
56,5,C07AB09,70,Esmololi,esmolol,00281
57,5,C07AB12,80,Nebivololi,nebivolol,01119
58,5,C07AB14,90,Landiololi,landiolol,10107
59,4,C1BDB,20,Epäselektiiviset beetasalpaajat,,00711
60,5,C07AA03,10,Pindololi,pindolol,01203
61,5,C07AA05,20,Propranololi,propranolol,00930
62,5,C07AA07,30,Sotaloli,sotalol,01089
63,3,C1BE,50,Ryhmä 3 (repolarisaation pidentäjät),,00552
64,4,C01B,10,Dronedaroni,ATCDDD N/A,03417
65,4,C01BD01,20,Amiodaroni,amiodarone,01175
66,4,C01BD05,30,Ibutilidi,ibutilide,00245
67,4,C07AA07,50,Sotaloli,sotalol,01089
68,3,C1BF,60,Ryhmä 4 (kalsiumkanavan salpaajat),,00355
69,4,C08DA01,10,Verapamiili,verapamil,00796
70,4,C08DB01,20,Diltiatseemi,diltiazem,00531
71,3,C01BG11,70,Vernakalantti,vernakalant,08959
72,3,C01EB10,90,Adenosiini,adenosine,01086
73,3,C01AA05,100,Digoksiini,digoxin,01357
74,2,C1U,30,Verenpainelääkkeet,,09617
75,3,C1C,30,Diureetit,,00822
76,4,C1CA,10,Tiatsidit ja niiden kaltaiset diureetit,,01012
77,5,C03AA03,10,Hydroklooritiatsidi,hydrochlorothiazide,00257
78,5,C03AA04,11,Klooritiatsidi,chlorothiazide,10833
79,5,C03BA08,20,Metolatsoni,metolazone,01548
80,5,C03BA11,30,Indapamidi,indapamide,01168
81,4,C1CB,20,Loop-diureetit,,00838
82,5,C03CA01,10,Furosemidi,furosemide,00208
83,5,C03CA02,20,Bumetanidi,bumetanide,00213
84,4,C1CC,30,Kaliumia säästävät diureetit,,01291
85,5,C03DB01,10,Amiloridi,amiloride,03446
86,5,C1CCA,20,Aldosteroniantagonistit,,03412
87,6,C03DA01,10,Spironolaktoni,spironolactone,01632
88,6,C03DA02,20,Kaliumkanrenoaatti,potassium canrenoate,09160
89,6,C03DA04,30,Eplerenoni,eplerenone,00286
90,6,C03DA05,31,Finerenoni,finerenone,10724
91,4,C1CD,40,Kaliumia säästävien ja muiden diureettien yhdistelmät,,00844
92,5,C03EA01,10,Hydroklooritiatsidi ja kaliumia säästävät diureetit,hydrochlorothiazide and potassium-sparing agents,00177
93,5,C03EA02,20,Trikloorimetiatsidi ja kaliumia säästävät diureetit,trichlormethiazide and potassium-sparing agents,01482
94,5,C03EB01,30,Furosemidi ja kaliumia säästävät diureetit,furosemide and potassium-sparing agents,03497
95,4,S01EC01,60,Asetatsolamidi,acetazolamide,00092
96,3,C1D,40,Beetasalpaajat,,00639
97,4,C1BDA,10,Selektiiviset beetasalpaajat,,01325
98,5,C07AB02,10,Metoprololi,metoprolol,00772
99,5,C07AB03,20,Atenololi,atenolol,00834
100,5,C07AB04,30,Asebutololi,acebutolol,01625
101,5,C07AB05,40,Betaksololi,betaxolol,00961
102,5,C07AB07,50,Bisoprololi,bisoprolol,01021
103,5,C07AB08,60,Seliprololi,celiprolol,00566
104,5,C07AB09,70,Esmololi,esmolol,00281
105,5,C07AB12,80,Nebivololi,nebivolol,01119
106,5,C07AB14,90,Landiololi,landiolol,10107
107,4,C1BDB,20,Epäselektiiviset beetasalpaajat,,00711
108,5,C07AA03,10,Pindololi,pindolol,01203
109,5,C07AA05,20,Propranololi,propranolol,00930
110,5,C07AA07,30,Sotaloli,sotalol,01089
111,4,C1DC,30,Alfa- ja beetareseptoreiden salpaajat,,00817
112,5,C07AG01,10,Labetaloli,labetalol,01223
113,5,C07AG02,20,Karvediloli,carvedilol,00556
114,3,C1E,50,Beetasalpaajien yhdistelmävalmisteet,,01257
115,4,C1EA,10,Beetasalpaaja ja diureetti,,00856
116,5,C07BB02,10,Metoprololi ja tiatsidit,metoprolol and thiazides,00576
117,5,C07BB07,20,Bisoprololi ja tiatsidit,bisoprolol and thiazides,00225
118,5,C07BB12,30,Nebivololi ja tiatsidit,nebivolol and thiazides,09159
119,4,C1EB,20,Beetasalpaaja ja muu verenpainelääke,,00600
120,5,C07FB02,10,Metoprololi ja felodipiini,metoprolol and felodipine,01560
121,5,C07FB03,20,Atenololi ja nifedipiini,atenolol and nifedipine,00017
122,3,C1EE,51,Alfasalpaajat,,10601
123,4,C02CA01,30,Pratsosiini,prazosin,00827
124,4,C02CA04,31,Doksatsosiini,doxazosin,09841
125,4,C04AB01,31,Fentolamiini,phentolamine,09221
126,4,C04AX02,31,Fenoksibentsamiini,phenoxybenzamine,03448
127,3,C1EF,52,Sentraalisesti vaikuttavat,,10602
128,4,C02AC01,10,Klonidiini,clonidine,01367
129,4,C02AC05,11,Moksonidiini,moxonidine,00807
130,3,C1F,60,Kalsiumkanavan salpaajat,,01465
131,4,C1FA,20,Pääasiassa verisuonistoon vaikuttavat kalsiumkanavan salpaajat,,00551
132,5,C08CA01,10,Amlodipiini,amlodipine,01009
133,5,C08CA02,20,Felodipiini,felodipine,00477
134,5,C08CA03,30,Isradipiini,isradipine,01501
135,5,C08CA04,40,Nikardipiini,nicardipine,09170
136,5,C08CA05,50,Nifedipiini,nifedipine,01064
137,5,C08CA06,60,Nimodipiini,nimodipine,01566
138,5,C08CA07,70,Nisoldipiini,nisoldipine,00965
139,5,C08CA10,80,Nilvadipiini,nilvadipine,01040
140,5,C08CA13,90,Lerkanidipiini,lercanidipine,01189
141,4,C1FB,21,Pääasiassa sydämeen vaikuttavat kalsiumkanavan salpaajat,,10603
142,5,C08DA01,10,Verapamiili,verapamil,00796
143,5,C08DB01,11,Diltiatseemi,diltiazem,00531
144,3,C1G,70,ACE:n estäjät,,01212
145,4,C09AA01,10,Kaptopriili,captopril,00051
146,4,C09AA02,20,Enalapriili,enalapril,01705
147,4,C09AA03,30,Lisinopriili,lisinopril,00901
148,4,C09AA04,40,Perindopriili,perindopril,00271
149,4,C09AA05,50,Ramipriili,ramipril,00983
150,4,C09AA06,60,Kinapriili,quinapril,01190
151,4,C09AA15,70,Tsofenopriili,zofenopril,00693
152,3,C1H,80,ACE:n estäjien yhdistelmävalmisteet,,01043
153,4,C1HA,10,ACE:n estäjä ja diureetti,,00702
154,5,C09BA02,10,Enalapriili ja diureetit,enalapril and diuretics,00533
155,5,C09BA03,20,Lisinopriili ja diureetit,lisinopril and diuretics,01405
156,5,C09BA04,30,Perindopriili ja diureetit,perindopril and diuretics,01035
157,5,C09BA05,40,Ramipriili ja diureetit,ramipril and diuretics,01213
158,5,C09BA06,50,Kinapriili ja diureetit,quinapril and diuretics,00330
159,5,C09BA15,60,Tsofenopriili ja diureetit,zofenopril and diuretics,00498
160,4,C1HB,20,ACE:n estäjä ja kalsiumkanavan salpaaja,,00084
161,5,C09BB02,10,Enalapriili ja lerkanidipiini,enalapril and lercanidipine,01078
162,5,C09BB04,20,Perindopriili ja amlodipiini,perindopril and amlodipine,01614
163,5,C09BB05,30,Ramipriili ja felodipiini,ramipril and felodipine,00202
164,5,C09BB07,31,Ramipriili ja amlodipiini,ramipril and amlodipine,11028
165,4,C1HC,30,"ACE:n estäjä, diureetti ja kalsiumkanavan salpaaja",,09502
166,5,C09BX01,10,"Perindopriili, amlodipiini ja indapamidi","perindopril, amlodipine and indapamide",09504
167,4,C1HD,40,ACE:n estäjä ja beetasalpaaja,,09710
168,5,C09BX02,10,Perindopriili ja bisoprololi,perindopril and bisoprolol,09709
169,3,C1J,90,AT-reseptorin salpaajat,,00883
170,4,C09CA01,10,Losartaani,losartan,00232
171,4,C09CA02,20,Eprosartaani,eprosartan,01581
172,4,C09CA03,30,Valsartaani,valsartan,01217
173,4,C09CA04,40,Irbesartaani,irbesartan,00592
174,4,C09CA06,50,Kandesartaani,candesartan,00038
175,4,C09CA07,60,Telmisartaani,telmisartan,00424
176,4,C09CA08,70,Olmesartaanimedoksomiili,olmesartan medoxomil,01010
177,3,C1K,100,AT-reseptorin salpaajien yhdistelmävalmisteet,,00028
178,4,C1KA,10,AT-reseptorin salpaaja ja diureetti,,00663
179,5,C09DA01,10,Losartaani ja diureetit,losartan and diuretics,00188
180,5,C09DA02,20,Eprosartaani ja diureetit,eprosartan and diuretics,01107
181,5,C09DA03,30,Valsartaani ja diureetit,valsartan and diuretics,00767
182,5,C09DA06,40,Kandesartaani ja diureetit,candesartan and diuretics,01594
183,5,C09DA07,50,Telmisartaani ja diureetit,telmisartan and diuretics,00609
184,5,C09DA08,60,Olmesartaanimedoksomiili ja diureetit,olmesartan medoxomil and diuretics,01700
185,4,C1KB,20,AT-reseptorin salpaaja ja kalsiumkanavan salpaaja,,00674
186,5,C09DB01,10,Valsartaani ja amlodipiini,valsartan and amlodipine,00323
187,5,C09DB02,20,Olmesartaanimedoksomiili ja amlodipiini,olmesartan medoxomil and amlodipine,09043
188,5,C09DB07,21,Kandesartaani ja amlodipiini ,candesartan and amlodipine,11005
189,4,C1KC,30,"AT-reseptorin salpaaja, diureetti ja kalsiumkanavan salpaaja",,03422
190,5,C09DX01,10,"Valsartaani, amlodipiini ja hydroklooritiatsidi","valsartan, amlodipine and hydrochlorothiazide",03438
191,5,C09DX03,20,"Olmesartaanimedoksomiili, amlodipiini ja hydroklooritiatsidi","olmesartan medoxomil, amlodipine and hydrochlorothiazide",09505
192,4,C1KD,40,AT-reseptorin salpaaja ja NEP:n estäjä,,09588
193,5,C09DX04,10,Valsartaani ja sakubitriili,valsartan and sacubitril,09587
194,3,C1L,110,Reniininestäjät,,00889
195,4,C09XA02,10,Aliskireeni,aliskiren,00402
196,2,C1M,120,Pulmonaalihypertension lääkkeet,,03483
197,3,B01AC09,10,Epoprostenoli,epoprostenol,09212
198,3,B01AC11,20,Iloprosti,iloprost,01404
199,3,B01AC21,30,Treprostiniili,treprostinil,01341
200,3,B01AC27,40,Seleksipagi,selexipag,09708
201,3,C02KX01,50,Bosentaani,bosentan,00147
202,3,C02KX02,60,Ambrisentaani,ambrisentan,00999
203,3,C02KX03,70,Sitaksentaani,sitaxentan,01164
204,3,C02KX04,80,Masitentaani,macitentan,09462
205,3,C02KX05,88,Riosiguaatti,riociguat,09458
206,3,C02KX06,89,Sotatersepti ,sotatercept,
207,3,C02KX54,90,Masitentaani ja tadalafiili ,macitentan and tadalafil,11207
208,3,G04BE03,100,Sildenafiili,sildenafil,01603
209,3,G04BE08,110,Tadalafiili,tadalafil,00149
210,2,C1N,130,Muut verenpainelääkkeet,,01030
211,3,C02CA06,50,Urapidiili,urapidil,09582
212,3,C02CC02,60,Guanetidiini,guanethidine,09222
213,3,C02DB01,80,Dihydralatsiini,dihydralazine,09032
214,3,C02DB02,90,Hydralatsiini,hydralazine,09503
215,3,C02DC01,100,Minoksidiili,minoxidil,03480
216,3,C02DD01,110,Nitroprussidi,nitroprusside,08912
217,3,C02KB01,120,Metirosiini,metirosine,09336
218,3,C02KN01,121,Aprositentaani,aprocitentan,11179
219,3,H01BA01,150,Vasopressiini (argipressiini),vasopressin (argipressin),09047
220,2,C1P,140,Lipidilääkkeet,,01344
221,3,C1PA,10,Statiinit,,00258
222,4,C10AA01,10,Simvastatiini,simvastatin,00806
223,4,C10AA02,20,Lovastatiini,lovastatin,01415
224,4,C10AA03,30,Pravastatiini,pravastatin,01516
225,4,C10AA04,40,Fluvastatiini,fluvastatin,01227
226,4,C10AA05,50,Atorvastatiini,atorvastatin,01192
227,4,C10AA07,60,Rosuvastatiini,rosuvastatin,00070
228,3,C1PB,20,Fibraatit,,00742
229,4,C10AB02,10,Betsafibraatti,bezafibrate,00719
230,4,C10AB04,20,Gemfibrotsiili,gemfibrozil,00929
231,4,C10AB05,30,Fenofibraatti,fenofibrate,00464
232,3,C1PC,30,Sappihappojen sitojat,,01623
233,4,C10AC01,10,Kolestyramiini,colestyramine,00644
234,4,C10AC02,20,Kolestipoli,colestipol,09019
235,4,C10AC04,30,Kolesevelaami,colesevelam,01193
236,3,C1PD,40,"Nikotiinihappo, sen johdokset ja yhdistelmävalmisteet",,00730
237,4,C04AC01,10,Nikotiinihappo,nicotinic acid,09758
238,4,C10AD06,20,Asipimoksi,acipimox,09842
239,4,C10AD52,30,"Nikotiinihappo, yhdistelmävalmisteet","nicotinic acid, combinations",00047
240,3,C1PE,50,Muut lipidilääkkeet,,00748
241,4,C1PEA,10,PCSK9-estäjät,,10535
242,5,C10AX13,10,Evolokumabi,evolocumab,09561
243,5,C10AX14,20,Alirokumabi,alirocumab,09586
244,4,C10AX06,20,Ikosapenttietyyli,omega-3-triglycerides incl. other esters and acids,10524
245,4,C10AX09,30,Etsetimibi,ezetimibe,00700
246,4,C10AX15,40,Bempedoiinihappo,bempedoic acid,10278
247,4,C10AX16,50,Inklisiraani,inclisiran,10498
248,4,C10AX17,60,Evinakumabi,evinacumab,10546
249,3,C1PF,60,Statiini ja muu lipidilääke,,00933
250,4,C10BA02,10,Simvastatiini ja etsetimibi,simvastatin and ezetimibe,00109
251,4,C10BA06,20,Rosuvastatiini ja etsetimibi,rosuvastatin and ezetimibe,10268
252,3,C1PG,70,Statiini ja verenpainelääke,,09721
253,4,C10BX11,10,"Atorvastatiini, amlodipiini ja perindopriili","atorvastatin, amlodipine and perindopril",09720
254,2,C1Q,160,"Ääreisverisuonia laajentavat aineet, suonikohjujen hoito",,01286
255,3,B01AC11,10,Iloprosti,iloprost,01404
256,3,C04AD03,20,Pentoksifylliini,pentoxifylline,01191
257,3,C1QA,30,Sklerosoivat lääkeaineet,,09455
258,4,C05BB02,10,Polidokanoli (lauromakrogoli 400),polidocanol,00828
259,4,C05BB04,20,Natriumtetradekyylisulfaatti,sodium tetradecyl sulfate,09454
260,1,B1,2,Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet,,01277
261,2,B1AF,3,Antikoagulantit,,09181
262,3,B1AFA,10,Hepariinit,,09182
263,4,B01AB01,10,Fraktioimaton hepariini,heparin,01068
264,4,B1ABA,20,Pienimolekyyliset hepariinit (LMWH),,00065
265,5,B01AB04,10,Daltepariini,dalteparin,00567
266,5,B01AB05,20,Enoksapariini,enoxaparin,01053
267,5,B01AB09,30,Danaparoidi,danaparoid,09185
268,5,B01AB10,40,Tintsapariini,tinzaparin,01365
269,4,C05BA01,21,Organoheparinoidit,organo-heparinoid,00350
270,3,B1AA,20,K-vitamiiniantagonistit,,00419
271,4,B01AA02,10,Fenindioni,phenindione,03445
272,4,B01AA03,20,Varfariini,warfarin,00233
273,4,B01AA04,30,Fenprokumoni,phenprocoumon,00992
274,3,B1AFB,30,Suorat hyytymistekijä X:n estäjät,,09183
275,4,B01AF02,10,Apiksabaani,apixaban,09186
276,4,B01AF03,20,Edoksabaani,edoxaban,09685
277,4,B01AF01,30,Rivaroksabaani,rivaroxaban,00687
278,3,B1AFC,40,Epäsuorat hyytymistekijä X:n estäjät,,09184
279,4,B01AX05,10,Fondaparinuuksi,fondaparinux,01469
280,3,B1AD,50,Suorat trombiinin estäjät,,01096
281,4,B01AE03,10,Argatrobaani,argatroban,09187
282,4,B01AE06,20,Bivalirudiini,bivalirudin,01499
283,4,B01AE07,30,Dabigatraanieteksilaatti,dabigatran etexilate,00086
284,3,B01AB02,60,Antitrombiini,antithrombin III,00122
285,3,B01AD12,70,Proteiini C,protein C,01448
286,3,B01AD13,71,Apadamtaasi alfa,apadamtase alfa and cinaxadamtase alfa,11187
287,2,B1AB,6,Verihiutaleiden estäjät,,00236
288,3,B1ABB,10,Asetyylisalisyylihappo ja sen yhdistelmät,,00802
289,4,B01AC06,10,Asetyylisalisyylihappo,acetylsalicylic acid,00462
290,4,B01AC30,20,Asetyylisalisyylihapon yhdistelmävalmisteet,combinations,01443
291,3,B01AC07,20,Dipyridamoli,dipyridamole,01468
292,3,B1ABD,30,ADP-reseptorin salpaajat,,09180
293,4,B01AC04,10,Klopidogreeli,clopidogrel,00442
294,4,B01AC05,20,Tiklopidiini,ticlopidine,01278
295,4,B01AC22,30,Prasugreeli,prasugrel,00513
296,4,B01AC24,40,Tikagrelori,ticagrelor,09038
297,4,B01AC25,50,Kangrelori,cangrelor,09671
298,3,B1ABC,40,Glykoproteiini IIb/IIIa -estäjät,,08910
299,4,B01AC13,10,Absiksimabi,abciximab,01611
300,4,B01AC16,20,Eptifibatidi,eptifibatide,00502
301,4,B01AC17,30,Tirofibaani,tirofiban,01187
302,3,B01AX01,50,Defibrotidi,defibrotide,03415
303,3,B01AX07,60,Kaplasitsumabi,caplacizumab,10110
304,2,B1AC,9,Fibrinolyyttiset lääkeaineet,,00060
305,3,B01AD01,10,Streptokinaasi,streptokinase,09188
306,3,B01AD02,20,Alteplaasi,alteplase,01348
307,3,B01AD04,30,Urokinaasi,urokinase,09189
308,3,B01AD07,40,Reteplaasi,reteplase,01703
309,3,B01AD11,50,Tenekteplaasi,tenecteplase,01148
310,2,B1AE,12,Prostasykliinianalogit,,01458
311,3,B01AC09,10,Epoprostenoli,epoprostenol,09212
312,3,B01AC11,20,Iloprosti,iloprost,01404
313,2,B1B,20,Hyytymistä edistävät lääkkeet,,00427
314,3,B02BB01,10,Fibrinogeeni,"fibrinogen, human",00724
315,3,B02BC06,20,Trombiini,thrombin,09838
316,3,B02BC30,30,Paikallisesti käytettävät hemostaatit,combinations,01308
317,3,B1BA,40,Antifibrinolyyttiset lääkkeet,,00704
318,4,B02AA02,10,Traneksaamihappo,tranexamic acid,00666
319,4,B02AB01,20,Aprotiniini ,aprotinin,10589
320,3,B1BB,50,K-vitamiini (fytomenadioni),,00435
321,4,B02BA01,10,Fytomenadioni,phytomenadione,00091
322,3,B1BE,60,Veren hyytymistekijät ja muut systeemisesti käytettävät hemostaatit,,00721
323,4,B02BD01,10,"Hyytymistekijät IX, II, VII ja X yhdistelmävalmisteina","coagulation factor IX, II, VII and X in combination",01000
324,4,B02BD02,20,Hyytymistekijä VIII,coagulation factor VIII,00333
325,4,B02BD03,30,Hyytymistekijä VIII:n vasta-aineen ohittava aine,factor VIII inhibitor bypassing activity,00898
326,4,B02BD04,40,Hyytymistekijä IX,coagulation factor IX,01296
327,4,B02BD06,50,Von Willebrand-tekijän ja hyytymistekijä VIII:n yhdistelmävalmisteet,von Willebrand factor and coagulation factor VIII in combination,00766
328,4,B02BD07,60,Hyytymistekijä XIII,coagulation factor XIII,00373
329,4,B02BD08,70,Hyytymistekijä VIIa,coagulation factor VIIa,00656
330,4,B02BD10,86,Von Willebrand -tekijä,von Willebrand factor,08951
331,4,B02BD11,87,Katridekakogi,catridecacog,09500
332,4,B02BD14,89,Susoktokogi alfa,susoctocog alfa,09713
333,4,B02BD15,90,Valoktokogeeniroksaparvoveekki,valoctocogene roxaparvovec,10812
334,4,B02BD16,91,Etranakogeenidetsaparvoveekki,etranacogene dezaparvovec,11023
335,4,B02BD17,92,Fidanakogeenielaparvoveekki,fidanacogene elaparvovec,11178
336,4,B02BX04,120,Romiplostiimi,romiplostim,00842
337,4,B02BX05,130,Eltrombopagi,eltrombopag,08960
338,4,B02BX06,168,Emisitsumabi,emicizumab,10089
339,4,B02BX07,169,Lusutrombopagi,lusutrombopag,10156
340,4,B02BX08,170,Avatrombopagi,avatrombopag,10200
341,4,B02BX09,180,Fostamatinibi,fostamatinib,10231
342,4,B02BX10,181,Konsitsumabi ,concizumab,11200
343,4,B02BX11,182,Marstasimabi,marstacimab,11201
344,4,H01BA02,190,Desmopressiini,desmopressin,00637
345,4,H01BA04,200, Terlipressiini,terlipressin,01005
346,4,V03AB14,210,Protamiini,protamine,00836
347,2,B1C,30,Anemialääkkeet,,01033
348,3,B1CA,10,Rauta ja rauta-foolihappoyhdistelmät,,00774
349,4,B1CAA,10,Oraaliset valmisteet,ATCDDD N/A,03466
350,4,B1CAB,20,Parenteraaliset valmisteet,ATCDDD N/A,03436
351,3,B1CC,30,Muut anemialääkkeet,,01618
352,4,B03XA01,10,Epoetiini,erythropoietin,00043
353,4,B03XA02,20,Darbepoetiini alfa,darbepoetin alfa,00482
354,4,B03XA03,30,Metoksipolyetyleeniglykoliepoetiini beta,methoxy polyethylene glycol-epoetin beta,03489
355,4,B03XA05,40,Roksadustaatti,roxadustat,10583
356,4,B03XA06,50,Luspatersepti,luspatercept,10283
357,4,B03XA08,51,Vadadustaatti,vadadustat,11021
358,2,B1D,40,Perinnöllisen angioedeeman (HAE) lääkkeet,,00973
359,3,B06AC01,8,Proteiini-C1 -estäjät,"c1-inhibitor, plasma derived",09190
360,3,B06AC02,9,Ikatibantti,icatibant,09191
361,3,B06AC04,9,Konestaatti alfa,conestat alfa,09039
362,3,B06AC05,10,Lanadelumabi,lanadelumab,10131
363,3,B06AC06,10,Berotralstaatti,berotralstat,10543
364,3,B06AC07,10,Garadasimabi,garadacimab,11211
365,2,B1E,40,Muut hematologiset lääkkeet,,10658
366,3,B01AX01,10,Defibrotidi,defibrotide,03415
367,3,B01AX07,20,Kaplasitsumabi,caplacizumab,10110
368,3,B02BX09,59,Fostamatinibi,fostamatinib,10231
369,3,B06AX01,59,Kritsanlitsumabi,crizanlizumab,10731
370,3,B06AA03,60,Hyaluronidaasi,hyaluronidase,10765
371,3,B06AB01,60,Hemiini,hemin,01361
372,3,B06AX02,68,Betibeglogeeniautotemseeli,betibeglogene autotemcel,10271
373,3,B06AX03,69,Vokselotori,voxelotor,10727
374,3,B06AX04,69,Mitapivaatti,mitapivat,10840
375,3,B06AX05,70,Eksagamglogeeniautotemseeli,exagamglogene autotemcel,11157
376,3,L04AJ01,80,Ekulitsumabi,eculizumab,
377,3,L04AJ02,90,Ravulitsumabi,ravulizumab,10181
378,3,L04AJ03,91,Pegsetakoplaani,pegcetacoplan,10655
379,3,L04AJ04,92,Sutimlimabi,sutimlimab,
380,3,L04AJ07,93,Krovalimabi,crovalimab,11189
381,3,L04AJ08,93,Iptakopaani,iptacopan,11168
382,3,L04AJ09,94,Danikopaani ,danicopan,11169
383,1,N2,3,"Keskushermoston lääkkeet (mm. psyyken, epilepsian, Parkinsonin ja Alzheimerin taudin lääkkeet)",,00438
384,2,N2A,10,Psykoosilääkkeet,,00529
385,3,N2AA,10,Perinteiset psykoosilääkkeet,,00521
386,4,N2AAA,10,Fentiatsiinit,,08888
387,5,N05AA01,10,Klooripromatsiini,chlorpromazine,00935
388,5,N05AA02,20,Levomepromatsiini,levomepromazine,00390
389,5,N05AB01,30,Diksyratsiini,dixyrazine,01231
390,5,N05AB02,40,Flufenatsiini,fluphenazine,00691
391,5,N05AB03,50,Perfenatsiini,perphenazine,00139
392,5,N05AB06,55,Trifluoperatsiini,trifluoperazine,03413
393,5,N05AB04,60,Proklooriperatsiini,prochlorperazine,01143
394,5,N05AC01,70,Perisiatsiini,periciazine,00694
395,5,N05AC04,80,Pipotiatsiini,pipotiazine,08913
396,4,N05AD01,80,Haloperidoli,haloperidol,00857
397,4,N05AD03,90,Melperoni,melperone,01416
398,4,N05AF01,100,Flupentiksoli,flupentixol,01617
399,4,N05AF03,110,Klooriprotikseeni,chlorprothixene,01587
400,4,N05AF05,120,Tsuklopentiksoli,zuclopenthixol,00568
401,4,N05AL01,130,Sulpiridi,sulpiride,01599
402,4,N05AL05,135,Amisulpridi,amisulpride,03462
403,4,N05AL03,137,Tiapridi,tiapride,03476
404,4,N05AG02,140,Pimotsidi,pimozide,00186
405,4,N05AA03,150,Promatsiini,promazine,09060
406,4,N05AC02,160,Tioridatsiini,thioridazine,03473
407,3,N2AB,20,Uudemmat (epätyypilliset) psykoosilääkkeet,,00875
408,4,N05AE03,10,Sertindoli,sertindole,00068
409,4,N05AE04,20,Tsiprasidoni,ziprasidone,01290
410,4,N05AE05,30,Lurasidoni,lurasidone,09540
411,4,N05AH01,40,Loksapiini,loxapine,09446
412,4,N05AH02,50,Klotsapiini,clozapine,01275
413,4,N05AH03,60,Olantsapiini,olanzapine,01662
414,4,N05AH04,70,Ketiapiini,quetiapine,01264
415,4,N05AH05,80,Asenapiini,asenapine,09061
416,4,N05AX08,90,Risperidoni,risperidone,01287
417,4,N05AX12,100,Aripipratsoli,aripiprazole,00879
418,4,N05AX13,110,Paliperidoni,paliperidone,00187
419,4,N05AX15,120,Karipratsiini,cariprazine,09938
420,4,N05AX16,130,Brekspipratsoli,brexpiprazole,10129
421,3,N05AN01,30,Litium,lithium,01654
422,2,N2B,20,Rauhoittavat lääkkeet,,01451
423,3,N2BA,10,Bentsodiatsepiinit,,00375
424,4,N05BA01,10,Diatsepaami,diazepam,00820
425,4,N05BA02,20,Klooridiatsepoksidi,chlordiazepoxide,00272
426,4,N05BA04,30,Oksatsepaami,oxazepam,01194
