seq,lvl,koodi,nimi
329,5,B02BD06,"Von Willebrand-tekijän ja hyytymistekijä VIII:n yhdistelmävalmisteet"
330,5,B02BD07,"Hyytymistekijä XIII"
331,5,B02BD08,"Hyytymistekijä VIIa"
332,5,B02BD10,"Von Willebrand -tekijä"
333,5,B02BD11,"Katridekakogi"
334,5,B02BD14,"Susoktokogi alfa"
335,5,B02BD15,"Valoktokogeeniroksaparvoveekki"
336,5,B02BD16,"Etranakogeenidetsaparvoveekki"
337,5,B02BD17,"Fidanakogeenielaparvoveekki"
338,5,B02BX04,"Romiplostiimi"
339,5,B02BX05,"Eltrombopagi"
340,5,B02BX06,"Emisitsumabi"
341,5,B02BX07,"Lusutrombopagi"
342,5,B02BX08,"Avatrombopagi"
343,5,B02BX09,"Fostamatinibi"
344,5,B02BX10,"Konsitsumabi "
345,5,B02BX11,"Marstasimabi"
346,5,H01BA02,"Desmopressiini"
347,5,H01BA04," Terlipressiini"
348,5,V03AB14,"Protamiini"
349,3,B1C,"Anemialääkkeet"
350,4,B1CA,"Rauta ja rauta-foolihappoyhdistelmät"
351,5,B1CAA,"Oraaliset valmisteet"
352,6,NA,"ENFAMIL FER-IN-SOL 15 mg Fe++/ml tipat"
353,6,NA,"ENFAMIL FER-IN-SOL 15 mg Fe++/ml tipat"
354,6,NA,"FERACCRU 30 mg kapseli, kova"
355,6,NA,"MALTOFER 100 mg purutabletti"
356,6,NA,"MALTOFER 2,5 mg/tippa tipat, liuos"
357,6,NA,"MALTOFER 50 mg/ml tipat, liuos"
358,6,NA,"OBSIDAN FE++ 100 mg kapseli, kova"
359,6,NA,"RETAFER 100 mg depottabletti"
360,6,NA,"RETAFER 50 mg depottabletti"
361,6,NA,"SPARTOFER 100 mg kapseli, kova"
362,5,B1CAB,"Parenteraaliset valmisteet"
363,6,NA,"FERINJECT 50 mg Fe/ml injektio-/infuusioneste, dispersio (ORIFARM)"
364,6,NA,"FERINJECT 50 mg Fe/ml injektio-/infuusioneste, liuos"
365,6,NA,"MONOFER 100 mg/ml injektio-/infuusioneste, liuos"
366,6,NA,"VENOFER 20 mg/ml injektioneste, liuos/infuusiokonsentraatti, liuosta varten"
367,6,NA,"VENOTRIX 20 mg/ml injektioneste, liuos/infuusiokonsentraatti, liuosta varten"
368,4,B1CC,"Muut anemialääkkeet"
369,5,B03XA01,"Epoetiini"
370,5,B03XA02,"Darbepoetiini alfa"
371,5,B03XA03,"Metoksipolyetyleeniglykoliepoetiini beta"
372,5,B03XA05,"Roksadustaatti"
373,5,B03XA06,"Luspatersepti"
374,5,B03XA08,"Vadadustaatti"
375,3,B1D,"Perinnöllisen angioedeeman (HAE) lääkkeet"
376,4,B06AC01,"Proteiini-C1 -estäjät"
377,4,B06AC02,"Ikatibantti"
378,4,B06AC04,"Konestaatti alfa"
379,4,B06AC05,"Lanadelumabi"
380,4,B06AC06,"Berotralstaatti"
381,4,B06AC07,"Garadasimabi"
382,3,B1E,"Muut hematologiset lääkkeet"
383,4,B01AX01,"Defibrotidi"
384,4,B01AX07,"Kaplasitsumabi"
385,4,B02BX09,"Fostamatinibi"
386,4,B06AX01,"Kritsanlitsumabi"
387,4,B06AA03,"Hyaluronidaasi"
388,4,B06AB01,"Hemiini"
389,4,B06AX02,"Betibeglogeeniautotemseeli"
390,4,B06AX03,"Vokselotori"
391,4,B06AX04,"Mitapivaatti"
392,4,B06AX05,"Eksagamglogeeniautotemseeli"
393,4,L04AJ01,"Ekulitsumabi"
394,4,L04AJ02,"Ravulitsumabi"
395,4,L04AJ03,"Pegsetakoplaani"
396,4,L04AJ04,"Sutimlimabi"
397,4,L04AJ07,"Krovalimabi"
398,4,L04AJ08,"Iptakopaani"
399,4,L04AJ09,"Danikopaani "
400,2,N2,"Keskushermoston lääkkeet (mm. psyyken, epilepsian, Parkinsonin ja Alzheimerin taudin lääkkeet)"
401,3,N2A,"Psykoosilääkkeet"
402,4,N2AA,"Perinteiset psykoosilääkkeet"
403,5,N2AAA,"Fentiatsiinit"
404,6,N05AA01,"Klooripromatsiini"
405,6,N05AA02,"Levomepromatsiini"
406,6,N05AB01,"Diksyratsiini"
407,6,N05AB02,"Flufenatsiini"
408,6,N05AB03,"Perfenatsiini"
409,6,N05AB06,"Trifluoperatsiini"
410,6,N05AB04,"Proklooriperatsiini"
411,6,N05AC01,"Perisiatsiini"
412,6,N05AC04,"Pipotiatsiini"
413,5,N05AD01,"Haloperidoli"
414,5,N05AD03,"Melperoni"
415,5,N05AF01,"Flupentiksoli"
416,5,N05AF03,"Klooriprotikseeni"
417,5,N05AF05,"Tsuklopentiksoli"
418,5,N05AL01,"Sulpiridi"
419,5,N05AL05,"Amisulpridi"
420,5,N05AL03,"Tiapridi"
421,5,N05AG02,"Pimotsidi"
422,5,N05AA03,"Promatsiini"
423,5,N05AC02,"Tioridatsiini"
424,4,N2AB,"Uudemmat (epätyypilliset) psykoosilääkkeet"
425,5,N05AE03,"Sertindoli"
426,5,N05AE04,"Tsiprasidoni"
427,5,N05AE05,"Lurasidoni"
428,5,N05AH01,"Loksapiini"
429,5,N05AH02,"Klotsapiini"
430,5,N05AH03,"Olantsapiini"
431,5,N05AH04,"Ketiapiini"
432,5,N05AH05,"Asenapiini"
433,5,N05AX08,"Risperidoni"
434,5,N05AX12,"Aripipratsoli"
435,5,N05AX13,"Paliperidoni"
436,5,N05AX15,"Karipratsiini"
437,5,N05AX16,"Brekspipratsoli"
438,4,N05AN01,"Litium"
439,3,N2B,"Rauhoittavat lääkkeet"
440,4,N2BA,"Bentsodiatsepiinit"
441,5,N05BA01,"Diatsepaami"
442,5,N05BA02,"Klooridiatsepoksidi"
443,5,N05BA04,"Oksatsepaami"
444,5,N05BA05,"Kaliumkloratsepaatti"
445,5,N05BA06,"Loratsepaami"
446,5,N05BA08,"Bromatsepaami"
447,5,N05BA12,"Alpratsolaami"
448,4,N05BB01,"Hydroksitsiini"
449,4,N05BE01,"Buspironi"
450,3,N2C,"Unilääkkeet"
451,4,N2CA,"Bentsodiatsepiinit"
452,5,N05CD02,"Nitratsepaami"
453,5,N05CD05,"Triatsolaami"
454,5,N05CD07,"Tematsepaami"
455,5,N05CD08,"Midatsolaami"
456,5,N05CD14," Remimatsolaami"
457,4,N2CB,"Bentsodiatsepiinien kaltaiset unilääkkeet"
458,5,N05CF01,"Tsopikloni"
459,5,N05CF02,"Tsolpideemi"
460,5,N05CF03,"Tsaleploni"
461,4,N2CC,"Muut unilääkkeet"
462,5,N05CC01,"Kloraalihydraatti"
463,5,N05CH01,"Melatoniini"
464,5,N05CH03,"Tasimelteoni"
465,5,N05CJ03,"Daridoreksantti "
466,5,N05CM02,"Klometiatsoli"
467,5,N05CM06,"Propiomatsiini"
468,5,N05CM09,"Valeriaana"
469,5,R06AA09,"Doksylamiini"
470,3,N2D,"Masennuslääkkeet"
471,4,N2DA,"Tri- ja tetrasykliset masennuslääkkeet"
472,5,N06AA02,"Imipramiini"
473,5,N06AA04,"Klomipramiini"
474,5,N06AA06,"Trimipramiini"
475,5,N06AA07,"Lofepramiini"
476,5,N06AA09,"Amitriptyliini"
477,5,N06AA10,"Nortriptyliini"
478,5,N06AA12,"Doksepiini"
479,5,N06AA21,"Maprotiliini"
480,4,N2DB,"Selektiiviset serotoniinin takaisinoton estäjät (SSRI)"
481,5,N06AB03,"Fluoksetiini"
482,5,N06AB04,"Sitalopraami"
483,5,N06AB05,"Paroksetiini"
484,5,N06AB06,"Sertraliini"
485,5,N06AB08,"Fluvoksamiini"
486,5,N06AB10,"Essitalopraami"
487,4,N2DF,"Serotoniinin ja noradrenaliinin takaisinoton estäjät (SNRI)"
488,5,N06AX16,"Venlafaksiini"
489,5,N06AX17,"Milnasipraani"
490,5,N06AX21,"Duloksetiini "
491,4,N2DC,"Selektiiviset MAO:n estäjät"
492,5,N06AG02,"Moklobemidi"
493,4,N2DD,"Muut masennuslääkkeet"
494,5,N05AL01,"Sulpiridi"
495,5,N06AF04,"Tranyylikypromiini "
496,5,N06AX01,"Oksitriptaani "
497,5,N06AX03,"Mianseriini"
498,5,N06AX05,"Tratsodoni"
499,5,N06AX11,"Mirtatsapiini"
500,5,N06AX12,"Bupropioni"
501,5,N06AX14,"Tianeptiini"
502,5,N06AX18,"Reboksetiini"
503,5,N06AX22,"Agomelatiini"
504,5,N06AX25,"Mäkikuisma"
505,5,N06AX26,"Vortioksetiini"
506,5,N06AX27,"Esketamiini "
507,4,N2DE,"Masennuslääkkeen ja muun psyykenlääkkeen yhdistelmät"
508,5,N06CA01,"Amitriptyliini ja muu psyykenlääke"
509,3,N2E,"Epilepsialääkkeet"
510,4,N2EA,"Hydantoiinijohdokset"
511,5,N03AB02,"Fenytoiini"
512,5,N03AB05,"Fosfenytoiini"
513,4,N2EB,"Bentsodiatsepiinit"
514,5,N03AE01,"Klonatsepaami"
515,5,N05BA01,"Diatsepaami"
516,5,N05BA06,"Loratsepaami"
517,5,N05CD08,"Midatsolaami"
518,5,N05BA09,"Klobatsaami"
519,4,N2EC,"Karboksamidijohdokset"
520,5,N03AF01,"Karbamatsepiini"
521,5,N03AF02,"Okskarbatsepiini"
522,5,N03AF03,"Rufinamidi"
523,5,N03AF04,"Eslikarbatsepiini"
524,4,N2ED,"Rasvahappojohdokset"
525,5,N03AG01,"Valproiinihappo"
526,5,N03AG04,"Vigabatriini"
527,5,N03AG06,"Tiagabiini"
528,4,N2EE,"Muut epilepsialääkkeet"
529,5,N03AA02,"Fenobarbitaali"
530,5,N03AA03,"Primidoni"
531,5,N03AD01,"Etosuksimidi"
532,5,N03AX03,"Sultiaami"
533,5,N03AX09,"Lamotrigiini"
534,5,N03AX10,"Felbamaatti"
535,5,N03AX11,"Topiramaatti"
536,5,N02BF01,"Gabapentiini"
537,5,N03AX14,"Levetirasetaami"
538,5,N03AX15,"Tsonisamidi"
539,5,N02BF02,"Pregabaliini"
540,5,N03AX17,"Stiripentoli"
541,5,N03AX18,"Lakosamidi"
542,5,N03AX21,"Retigabiini"
543,5,N03AX22,"Perampaneeli"
544,5,N03AX23,"Brivarasetaami"
545,5,N03AX24,"Kannabidioli"
546,5,N03AX25,"Senobamaatti"
547,5,N03AX26,"Fenfluramiini"
548,5,N03AX27,"Ganaksoloni"
549,5,N03AX31,"Kaliumbromidi"
550,3,N2F,"Parkinsonismilääkkeet"
551,4,N2FA,"Antikolinergit"
552,5,N04AA01,"Triheksifenidyyli"
553,5,N04AA02,"Biperideeni"
554,5,N04AA04,"Prosyklidiini"
555,4,N2FB,"Dopaminergiset lääkkeet"
556,5,N04BA02,"Levodopa ja dekarboksylaasin estäjä"
557,5,N04BA03,"Levodopa, dekarboksylaasin estäjä ja COMT-estäjä"
558,5,N04BA07,"Foslevodopa ja dekarboksylaasin estäjä"
559,5,N04BB01,"Amantadiini"
560,5,G02CB01,"Bromokriptiini"
561,5,N04BC01,"Bromokriptiini"
562,5,N04BC04,"Ropiniroli"
563,5,N04BC05,"Pramipeksoli"
564,5,N04BC06,"Kabergoliini"
565,5,N04BC07,"Apomorfiini"
566,5,N04BC09,"Rotigotiini"
567,5,N04BX01,"Tolkaponi"
568,5,N04BX02,"Entakaponi"
569,5,N04BX04,"Opikaponi"
570,4,N2FC,"MAO-B:n estäjät"
571,5,N04BD01,"Selegiliini"
572,5,N04BD02,"Rasagiliini"
573,5,N04BD03,"Safinamidi"
574,3,N2G,"Alzheimerin taudin lääkkeet"
575,4,N2GA,"Antikoliiniesteraasit (AKE:n estäjät)"
576,5,N06DA02,"Donepetsiili"
577,5,N06DA03,"Rivastigmiini"
578,5,N06DA04,"Galantamiini"
579,4,N06DX01,"Memantiini"
580,4,N06DX04,"Lekanemabi"
581,3,N2O,"MS-taudin lääkkeet"
582,4,L01DB07,"Mitoksantroni"
583,4,L03AB07,"Interferonibeeta-1a"
584,4,L03AB08,"Interferonibeeta-1b"
585,4,L03AB13,"Peginterferonibeeta-1a"
586,4,L03AX13,"Glatirameeriasetaatti"
587,4,L04AG03,"Natalitsumabi"
588,4,L04AE01,"Fingolimodi"
589,4,L04AK02,"Teriflunomidi"
590,4,L04AG06,"Alemtutsumabi"
591,4,L04AG08,"Okrelitsumabi"
